Most Popular Baby Names for Your Requested Year

Gender		Name		Rank
Male		Jakob		481
Male		Jaleel		721
Female		Jaleesa		793
Male		Jalen		377
Female		Jalisa		492
Male		Jamaal		683
Male		Jamal		242
Male		Jamar		493
Male		Jamarcus	789
Male		Jamel		582
Male		James		9
Male		Jameson		719
Female		Jami		633
Female		Jamie		75
Male		Jamie		249
Male		Jamil		743
Female		Jamila		923
Male		Jamison		654
Female		Jana		657
Female		Janae		498
Female		Janay		811
Female		Jane		395
Female		Janel		889
Female		Janell		905
Female		Janelle		262
Female		Janessa		730
Female		Janet		231
Female		Janette		685
Female		Janice		514
Female		Janie		709
Female		Janine		733
Female		Janna		960
Male		Jaquan		585
Female		Jaqueline	815
Male		Jared		67
Male		Jarod		755
Male		Jaron		485
Male		Jarred		439
Male		Jarrell		946
Male		Jarrett		447
Male		Jarrod		384
Male		Jarvis		490
Female		Jasmin		211
Female		Jasmine		28
Male		Jason		46
Male		Jasper		666
Male		Javier		152
Male		Javon		499
Male		Javonte		684
Male		Jay			236
Female		Jayme		688
Male		Jayson		492
Female		Jazmin		255
Female		Jazmine		266
Female		Jean		928
Male		Jean		533
Female		Jeanette	322
Female		Jeannette	908
Male		Jeff		697
Male		Jefferson	710
Male		Jeffery		176
Male		Jeffrey		51
Female		Jena		546
Female		Jenifer		672
Female		Jenna		67
Female		Jennie		640
Female		Jennifer	11
Female		Jenny		244
Male		Jerald		867
Male		Jered		981
Male		Jerel		957
Male		Jeremiah	161
Male		Jeremy		47
Female		Jerica		936
Male		Jermaine	349
Male		Jerod		926
Male		Jerome		298
Male		Jerrell		771
Female		Jerrica		805
Male		Jerrod		688
Male		Jerry		183
Male		Jess		875
Female		Jesse		693
Male		Jesse		50
Female		Jessenia	965
Female		Jessi		966
Female		Jessica		2
Female		Jessie		256
Male		Jessie		273
Female		Jessika		673
Male		Jessy		756
Male		Jesus		78
Male		Jevon		911
Female		Jill		397
Female		Jillian		148
Male		Jim			744
Male		Jimmie		635
Male		Jimmy		200
Female		Joan		800
Female		Joann		872
Female		Joanna		167
Female		Joanne		671
Male		Joaquin		631
Female		Jocelyn		165
Female		Jodi		532
Female		Jodie		825
Male		Jody		896
Male		Joe			220
Male		Joel		100
Female		Joelle		914
Male		Joey		402
Female		Johanna		392
Male		John		14
Male		Johnathan	122
Male		Johnathon	279
Male		Johnnie		632
Male		Johnny		153
Male		Jon			240
Male		Jonah		694
Male		Jonas		905
Male		Jonathan	21
Male		Jonathon	136
Female		Jordan		63
Male		Jordan		32
Male		Jordon		405
Female		Jordyn		378
Male		Jorge		109
Male		Jose		37
Male		Josef		821
Female		Joselyn		893
Male		Joseph		11
Female		Josephine	426
Male		Josh		775
Male		Joshua		4
Male		Josiah		324
Female		Josie		620
Male		Josue		285
Male		Jovan		644
Female		Joy			411
Female		Joyce		539
Male		Juan		56
Female		Juana		827
Female		Juanita		542
Female		Judith		467
Female		Judy		658
Female		Julia		70
Male		Julian		133
Female		Juliana		441
Female		Julianna	584
Female		Julianne	450
Female		Julie		106
Male		Julien		871
Male		Julio		201
Female		Julissa		756
Male		Julius		453
Male		Junior		780
Male		Justen		927
Male		Justice		822
Male		Justin		18
Female		Justina		624
Female		Justine		224
Male		Justyn		933
Male		Juwan		962
Female		Kacey		662
Female		Kaci		738
Female		Kacie		504
Male		Kadeem		581
Female		Kaela		828
Male		Kai			837
Female		Kaila		428
Female		Kailee		906
Female		Kailey		466
Female		Kaitlin		113
Female		Kaitlyn		42
Female		Kaitlynn	451
Female		Kala		637
Male		Kaleb		280
Female		Kaleigh		435
Male		Kalen		939
Female		Kaley		470
Female		Kali		404
Female		Kalie		919
Female		Kallie		844
Female		Kalyn		758
Male		Kameron		398
Female		Kandace		946
Female		Kandice		920
Female		Kara		115
Male		Kareem		548
Female		Karen		122
Female		Kari		327
Female		Karina		159
Female		Karissa		309
Male		Karl		336
Female		Karla		238
Female		Karlee		608
Female		Karley		798
Female		Karli		572
Female		Karlie		720
Female		Karly		558
Female		Kasandra	696
Female		Kasey		203
Male		Kasey		501
Female		Kasie		992
Female		Kassandra	204
Female		Kassie		909
Female		Katarina	574
Female		Kate		325
Female		Katelin		634
Female		Katelyn		66
